patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,5,1.1,12,0,2000,2000,488,1529.1750092457194,10.321468
48,5,1.1,12,0,2000,2000,488,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
48,20,1.1,12,0,2000,2000,490,1529.1750092457194,10.321468
48,20,1.1,12,0,2000,2000,492,1520.843284020144,9.2585745
