seasons/highway/loop1,,,
parameter,setting,mean,min
,,,
FAST Threshold,5,241.6,58
FAST Threshold,10,241.6,58
FAST Threshold,20,241.6,58
FAST Threshold,40,239.6,42
,,,
Number of features,500,241.6,58
Number of features,1000,466.1,124
Number of features,2000,856.2,217
Number of features,3000,1168.5,274
,,,
Number of levels,4,232.8,68
Number of levels,8,241.6,58
Number of levels,12,231,51
Number of levels,16,217.5,49
,,,
Scale factor,1.1,205.8,41
Scale factor,1.2,241.6,58
Scale factor,1.3,244.1,66
Scale factor,1.4,233.5,68
,,,
Patch size,6,171.8,78
Patch size,12,191,54
Patch size,24,227.4,61
Patch size,48,247.6,57
,,,
,,,
seasons/highway/loop2,,,
parameter,setting,mean,min
,,,
FAST Threshold,5,224.3,57
FAST Threshold,10,224.3,56
FAST Threshold,20,223.7,57
FAST Threshold,40,214.5,32
,,,
Number of features,500,223.7,57
Number of features,1000,419.4,83
Number of features,2000,692.6,130
Number of features,3000,857.1,130
,,,
Number of levels,4,212,39
Number of levels,8,223.7,57
Number of levels,12,214.8,62
Number of levels,16,202.5,57
,,,
Scale factor,1.1,187.6,42
Scale factor,1.2,223.7,57
Scale factor,1.3,226.1,44
Scale factor,1.4,216.5,49
,,,
Patch size,6,138.5,59
Patch size,12,165.3,46
Patch size,24,210,64
Patch size,48,237.8,70
,,,
,,,
seasons/office_loop/loop1,,,
parameter,setting,mean,min
,,,
FAST Threshold,5,223.4,49
FAST Threshold,10,223.4,49
FAST Threshold,20,223.3,49
FAST Threshold,40,222.9,51
,,,
Number of features,500,223.3,49
Number of features,1000,426.2,96
Number of features,2000,792.1,144
Number of features,3000,1095.5,172
,,,
Number of levels,4,206.6,28
Number of levels,8,223.3,49
Number of levels,12,214.7,47
Number of levels,16,202.5,43
,,,
Scale factor,1.1,190.9,27
Scale factor,1.2,223.3,49
Scale factor,1.3,222.2,58
Scale factor,1.4,211,54
,,,
Patch size,6,158.6,55
Patch size,12,169,42
Patch size,24,206.6,39
Patch size,48,239.7,46
seasons/office_loop/loop2,,,
parameter,setting,mean,min
,,,
FAST Threshold,5,206.1,50
FAST Threshold,10,206.1,50
FAST Threshold,20,206.1,51
FAST Threshold,40,205.6,49
,,,
Number of features,500,206.1,51
Number of features,1000,391.5,88
Number of features,2000,728.1,141
Number of features,3000,1018.8,170
,,,
Number of levels,4,187.8,17
Number of levels,8,206.1,51
Number of levels,12,199.4,50
Number of levels,16,188.1,43
,,,
Scale factor,1.1,173.1,15
Scale factor,1.2,206.1,51
Scale factor,1.3,206.5,58
Scale factor,1.4,196.1,51
,,,
Patch size,6,148.1,52
Patch size,12,154.1,32
Patch size,24,190.1,40
Patch size,48,224.2,46
seasons/office_loop/loop3
parameter,setting,mean,min

FAST Threshold,5,221.1,39
FAST Threshold,10,221.1,39
FAST Threshold,20,221.0,39
FAST Threshold,40,213.9,40

Number of features,500,221.0,39
Number of features,1000,418.0,75
Number of features,2000,753.5,140
Number of features,3000,1016.4,181

Number of levels,4,207.9,12
Number of levels,8,221.0,39
Number of levels,12,211.3,35
Number of levels,16,199.5,33

Scale factor,1.1,191.4,22
Scale factor,1.2,221.0,39
Scale factor,1.3,219.7,30
Scale factor,1.4,208.0,29

Patch size,6,155.2,58
Patch size,12,169.5,43
Patch size,24,207.2,40
Patch size,48,235.2,44


